permission_code,name,description,frontend_status,frontend_location,notes
organization.responsibilities.read,Read responsibility targets,Search active responsibility targets,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.vehicles.read,Read vehicles,View vehicles,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.vehicles.create,Create vehicles,Create vehicle master data,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.vehicles.update,Update vehicles,Update vehicle master data,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
organization.vehicles.delete,Delete vehicles,Deactivate vehicle master data,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.assets.read,Read assets,View asset register and asset detail,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.assets.update,Update asset profiles,Create or update asset profile,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_assignments.read,Read asset assignments,View asset assignment history,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_assignments.create,Assign assets,Assign an asset to a responsibility target,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_assignments.return,Return assets,Return an asset to warehouse,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_assignments.transfer,Transfer assets,Transfer asset responsibility,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_maintenances.read,Read asset maintenance,View asset maintenance,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_maintenances.create,Create asset maintenance,Create asset maintenance work,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.asset_maintenances.update,Update asset maintenance,"Start, complete, or cancel maintenance",INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.assets.read,Read asset reports,View asset responsibility reports,INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.responsibilities.read,Read responsibility reports,View item usage by responsibility,INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
reports.asset_maintenances.read,Read asset maintenance reports,View asset maintenance reports,INTEGRATED,src/config/navigation.ts; src/router/index.ts; src/modules/reports/ReportsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.purchase_prices.create,Create Purchase Prices,Membuat referensi harga pembelian supplier secara manual.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.purchase_prices.read,Read Purchase Prices,Melihat histori harga pembelian supplier.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.purchase_prices.update,Update Purchase Prices,Mengubah referensi harga pembelian manual.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
catalog.purchase_prices.delete,Delete Purchase Prices,Menghapus referensi harga pembelian manual.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.cost_balances.read,Read Cost Balances,Melihat saldo nilai persediaan dan average cost.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
inventory.cost_movements.read,Read Cost Movements,Melihat histori pergerakan nilai persediaan.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.create,Create Landed Costs,Membuat dokumen landed cost.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.read,Read Landed Costs,"Melihat landed cost, receipt, charge, preview, dan allocation.",INTEGRATED,src/config/navigation.ts; src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.update,Update Landed Costs,"Mengubah draft/rejected, menghitung preview, submit, atau cancel sebelum approval.",INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.delete,Delete Landed Costs,Soft-delete landed cost yang belum diposting.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.approve,Approve Landed Costs,Menyetujui atau menolak landed cost yang sudah disubmit.,INTEGRATED,src/config/navigation.ts; src/config/modules.ts; src/router/index.ts; src/modules/approvals/ApprovalsView.vue,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.post,Post Landed Costs,Memposting landed cost ke inventory costing dan specific unit cost.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
transaction.landed_costs.reverse,Reverse Landed Costs,Membalik landed cost yang sudah diposting jika belum ada cost movement lanjutan.,INTEGRATED,src/config/modules.ts,"Menu, route guard, tombol aksi, atau workflow frontend mengikuti permission ini."
